รายได้ครอบครัว,หลักสูตรที่เข้าศึกษา,จัดการเรียนการสอนที่ศูนย์แม่ริม,ระดับรายได้,target,ปัจจัยสถาบันการศึกษา(avg),ปัจจัยด้านโปรแกรมการศึกษา/หลักสูตร(avg),ปัจจัยในการตัดสินใจ(avg),ปัจจัยด้านเหตุผลส่วนตัว(avg),ปัจจัยด้านสื่อและการประชาสัมพันธ์(avg)
"ไม่เกิน 10,000",สถิติประยุกต์ แขนงวิชาวิทยาการข้อมูลเชิงสถิติ,,1,1,3.8333333333333335,4.333333333333333,3.75,2.8,4.0
"10,001-20,000",วิทยาการคอมพิวเตอร์,,2,1,3.8333333333333335,3.8333333333333335,2.75,3.4,2.8
"ไม่เกิน 10,000",เทคโนโลยีเว็บ,ไม่สะดวก/ไม่ยินดีในการศึกษาต่อ เนื่องจาก ไกลที่อยู่อาศัยปัจจุบัน,1,1,4.5,4.666666666666667,4.0,4.2,5.0
"20,001-30,000",เทคโนโลยีสารสนเทศ,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,3,0,4.833333333333333,4.5,3.75,3.6,3.8
"10,001-20,000",เทคโนโลยีสารสนเทศ,ไม่สะดวก/ไม่ยินดีในการศึกษาต่อ เนื่องจาก ไกลที่อยู่ปัจจุบัน  แต่สามารถเดินทางไปเรียนได้ปัจจุบัน,2,1,2.6666666666666665,4.5,1.75,2.0,3.0
"10,001-20,000",เทคโนโลยีสารสนเทศ,ไม่สะดวก/ไม่ยินดีในการศึกษาต่อ เนื่องจาก ไกล เดินทางลำบากและค่าใช้จ่ายที่เพิ่มขึ้นในอนาคตหากมีแต่การสอนที่แม่ริม,2,1,2.8333333333333335,3.8333333333333335,2.75,2.2,3.2
"ไม่เกิน 10,000",เทคโนโลยีสารสนเทศ,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,1,0,3.8333333333333335,4.5,3.5,3.6,3.0
"10,001-20,000",เทคโนโลยีสารสนเทศ,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,2,0,3.5,3.8333333333333335,3.0,3.4,4.0
"10,001-20,000",เทคโนโลยีสารสนเทศ,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,2,0,3.3333333333333335,3.3333333333333335,3.5,2.8,3.2
"ไม่เกิน 10,000",ชีววิทยา,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,1,0,3.6666666666666665,4.166666666666667,2.25,4.0,3.0
"30,001 ขึ้นไป",ชีววิทยา,ไม่สะดวก/ไม่ยินดีในการศึกษาต่อ เนื่องจาก ไม่มีที่พัก  ไม่สะดวกในการเดินทาง,4,1,4.166666666666667,4.166666666666667,3.75,3.6,3.4
"10,001-20,000",ชีววิทยา,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,2,0,3.3333333333333335,3.3333333333333335,3.0,3.8,3.0
"30,001 ขึ้นไป",ชีววิทยา,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม  ข้อเสนอแนะ  เรื่องของการเดินทางไปศูนย์แม่ริมเพราะบางคนมีหออยู่ในตัวเมือง,4,0,4.0,4.5,3.5,2.4,3.2
"10,001-20,000",ชีววิทยา,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,2,0,3.6666666666666665,3.0,3.5,1.6,3.6
"ไม่เกิน 10,000",ชีววิทยา,ไม่สะดวก/ไม่ยินดีในการศึกษาต่อ เนื่องจาก ศูนย์แม่ริมอยู่ไกลจากบ้านมาก ไม่สามารถขอทุนอยู่หอได้ พิจารณาใช้เวลาและเงินมากขึ้นในการเดินทาง,1,1,2.3333333333333335,3.3333333333333335,3.0,1.0,1.0
"10,001-20,000",วิทยาศาสตร์และเทคโนโลยีสิ่งแวดล้อม,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,2,0,4.0,3.6666666666666665,3.0,4.0,3.2
