ลำดับ,เพศ,จังหวัดที่อาศัย,โรงเรียน,สำเร็จการศึกษาจาก,จังหวัด,เกรดเฉลี่ยสะสม,รายได้ครอบครัว,หลักสูตรที่เข้าศึกษา,ปัจจัยสถาบันการศึกษา1,ปัจจัยสถาบันการศึกษา2,ปัจจัยสถาบันการศึกษา3,ปัจจัยสถาบันการศึกษา4,ปัจจัยสถาบันการศึกษา5,ปัจจัยสถาบันการศึกษา6,ปัจจัยด้านโปรแกรมการศึกษา/หลักสูตร1,ปัจจัยด้านโปรแกรมการศึกษา/หลักสูตร2,ปัจจัยด้านโปรแกรมการศึกษา/หลักสูตร3,ปัจจัยด้านโปรแกรมการศึกษา/หลักสูตร4,ปัจจัยด้านโปรแกรมการศึกษา/หลักสูตร5,ปัจจัยด้านโปรแกรมการศึกษา/หลักสูตร6,ปัจจัยในการตัดสินใจ1,ปัจจัยในการตัดสินใจ2,ปัจจัยในการตัดสินใจ3,ปัจจัยในการตัดสินใจ4,ปัจจัยด้านเหตุผลส่วนตัว1,ปัจจัยด้านเหตุผลส่วนตัว2,ปัจจัยด้านเหตุผลส่วนตัว3,ปัจจัยด้านเหตุผลส่วนตัว4,ปัจจัยด้านเหตุผลส่วนตัว5,ปัจจัยด้านสื่อและการประชาสัมพันธ์1,ปัจจัยด้านสื่อและการประชาสัมพันธ์2,ปัจจัยด้านสื่อและการประชาสัมพันธ์3,ปัจจัยด้านสื่อและการประชาสัมพันธ์4,ปัจจัยด้านสื่อและการประชาสัมพันธ์5,จัดการเรียนการสอนที่ศูนย์แม่ริม,ความคาดหวังที่นักศึกษาคิดว่าจะได้รับ,ข้อเสนอแนะ
1,ญ,พะเยา,มัธยมศึกษาของรัฐ,ปงพัฒนาวิทยาคม,พะเยา,3.48,"ไม่เกิน 10,000",สถิติประยุกต์ แขนงวิชาวิทยาการข้อมูลเชิงสถิติ,4,4,3,4,4,4,5,5,4,4,4,4,3,3,5,4,4,1,1,3,5,4,4,4,4,4,,,
2,ช,เชียงใหม่,มัธยมศึกษาของเอกชน,เชียงใม่คริสเตียน,เชียงใหม่,2.26,"10,001-20,000",วิทยาการคอมพิวเตอร์,3,4,4,4,4,4,4,4,3,4,4,4,3,3,3,2,5,3,3,3,3,3,2,3,2,4,,1. เข้ามาเพื่อหาประสบการณ์ใหม่ในการเข้าสังคม   2. รู้จักตัวเองและสังคมมากขึ้น,
3,ช,เชียงใหม่,สถาบันอาชีวศึกษา,วิทยาลัยเทคโนโลยีพายัพและบริการธุรกิจ ,เชียงใหม่,3.50,"ไม่เกิน 10,000",เทคโนโลยีเว็บ,5,4,5,4,4,5,4,5,5,5,4,5,4,4,4,4,4,,4,5,5,5,5,5,5,5,ไม่สะดวก/ไม่ยินดีในการศึกษาต่อ เนื่องจาก ไกลที่อยู่อาศัยปัจจุบัน,1. ความรู้                                                  2. เพื่อน                                                  3. สังคมที่ดี,
4,ช,เชียงใหม่,มัธยมศึกษาของเอกชน,เมธีวุฒิกร ,ลำพูน,2.39,"20,001-30,000",เทคโนโลยีสารสนเทศ,4,5,5,5,5,5,4,4,4,5,5,5,5,5,4,1,1,5,4,3,5,5,5,3,1,5,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,1. กิจกรรมที่จะทำกับเพื่อน                             2. ความรู้ในการทำงาน                                  3. สังคมใหม่ๆ,
5,ช,เชียงใหม่,สถาบันอาชีวศึกษา,วิทยาลัยเทคโนโลยีโปลิเทคนิคลานนา,เชียงใหม่,3.51,"10,001-20,000",เทคโนโลยีสารสนเทศ,3,3,3,2,4,1,5,3,4,5,5,5,4,1,1,1,3,1,1,1,4,3,3,3,3,3,ไม่สะดวก/ไม่ยินดีในการศึกษาต่อ เนื่องจาก ไกลที่อยู่ปัจจุบัน  แต่สามารถเดินทางไปเรียนได้ปัจจุบัน,,
6,ช,เชียงใหม่,มัธยมศึกษาของรัฐ,สันกำแพง,เชียงใหม่,2.80,"10,001-20,000",เทคโนโลยีสารสนเทศ,3,3,2,2,3,4,4,4,3,4,4,4,3,4,3,1,2,1,2,3,3,4,3,3,2,4,ไม่สะดวก/ไม่ยินดีในการศึกษาต่อ เนื่องจาก ไกล เดินทางลำบากและค่าใช้จ่ายที่เพิ่มขึ้นในอนาคตหากมีแต่การสอนที่แม่ริม,,
7,ช,พะเยา,มัธยมศึกษาของรัฐ,ถ้ำปินวิทยาคม,พะเยา,2.56,"ไม่เกิน 10,000",เทคโนโลยีสารสนเทศ,4,4,4,3,4,4,4,5,4,5,5,4,4,4,4,2,4,4,4,3,3,3,3,3,3,3,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,1. เมื่อจบไปแล้วมีตลาดรองรับการทำงานได้         2. หลักสูตรเป็นไปตามหลักสูตรกลาง  มีบรรยากาศในการเรียนที่ดี                                           3. อุปกรณ์ที่เกี่ยวกับการเรียนต้องมีความพร้อม,
8,ช,เชียงใหม่,มัธยมศึกษาของรัฐ,พร้าววิทยาคม,เชียงใหม่,2.50,"10,001-20,000",เทคโนโลยีสารสนเทศ,4,4,4,4,4,1,4,4,3,4,4,4,3,3,3,3,4,3,2,4,4,4,4,4,4,4,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,,
9,ช,แม่ฮ่องสอน,มัธยมศึกษาของเอกชน,แม่ลาน้อยดรุณสิกข์,แม่ฮ่องสอน,2.43,"10,001-20,000",เทคโนโลยีสารสนเทศ,4,3,3,4,3,3,3,3,3,4,4,3,3,4,3,4,2,2,3,3,4,4,3,3,2,4,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,1. เปิดโลกกว้าง                                          2. รู้จักการใช้ชีวิตมากขึ้น                               3. การตัดสินใจ                                           4. เรียนรู้เพิ่มเติม                                         5. ประสบการณ์,
10,ญ,เชียงใหม่,มัธยมศึกษาของรัฐ,นวมินทราชูทิศพายัพ,เชียงใหม่,2.66,"ไม่เกิน 10,000",ชีววิทยา,3,3,4,4,4,4,4,4,4,4,4,5,4,2,2,1,5,5,3,3,4,3,3,3,3,3,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,1. เรียนจบ                                                2. มีงานทำ                                  ,
